Titulo,Ano_lancamento,Genero,Vendas_Totais,Vendas_JP,Vendas_EUA,Vendas_Europa,Outras_Vendas
"3 in 1: Solitaire, Mahjong & Tangram",2010.0,Misc,0.08,0.0,0.0,0.07,0.01
300: March to Glory,2007.0,Action,0.41,0.0,0.27,0.08,0.06
3D Baseball,1996.0,Sports,0.03,0.0,0.02,0.01,0.0
3D Dot Game Heroes,2009.0,Role-Playing,0.57,0.03,0.36,0.12,0.07
3D Lemmings,1995.0,Puzzle,0.06,0.0,0.03,0.02,0.0
3D Tank Warfare Simulator Panzer Front,1999.0,Simulation,0.1,0.0,0.06,0.04,0.01
3DS Classic Collection,2016.0,Misc,0.03,0.0,0.02,0.0,0.0
3Xtreme,1999.0,Action,0.9,0.0,0.5,0.34,0.06
3rd Super Robot Wars Z Jigoku Hen,2014.0,Role-Playing,0.42,0.42,0.0,0.0,0.0
3rd Super Robot Wars Z: Tengoku-Hen,2015.0,Action,0.34,0.34,0.0,0.0,0.0
4 Elements,2009.0,Puzzle,0.05,0.0,0.0,0.04,0.01
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005.0,Misc,0.12,0.0,0.11,0.0,0.01
4 Nin uchi Mahjong,1984.0,Misc,1.45,1.45,0.0,0.0,0.0
40 Winks,1999.0,Platform,0.31,0.0,0.17,0.12,0.02
428: Fuusa Sareta Shibuya de,2009.0,Adventure,0.19,0.19,0.0,0.0,0.0
4x4 EVO 2,2001.0,Racing,0.38,0.0,0.29,0.08,0.01
4x4 Evolution,2001.0,Racing,0.32,0.0,0.16,0.12,0.04
50 Cent: Blood on the Sand,2009.0,Shooter,0.4,0.01,0.22,0.13,0.05
50 Cent: Bulletproof,2005.0,Action,2.3,0.0,1.26,0.86,0.19
50 Classic Games,2009.0,Misc,0.57,0.0,0.52,0.02,0.04
64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997.0,Misc,0.22,0.22,0.0,0.0,0.0
7 Days to Die,2016.0,Action,0.16,0.0,0.05,0.09,0.02
7 Roses: A Darkness Rises,2015.0,Misc,0.02,0.0,0.0,0.02,0.0
7 Wonders II,2009.0,Puzzle,0.32,0.0,0.14,0.15,0.03
7 Wonders of the Ancient World,2007.0,Puzzle,0.21,0.0,0.17,0.01,0.02
7 Wonders: Treasures of Seven,2011.0,Puzzle,0.05,0.0,0.02,0.03,0.01
7th Dragon,2009.0,Role-Playing,0.14,0.14,0.0,0.0,0.0
7th Dragon 2020,2011.0,Role-Playing,0.2,0.2,0.0,0.0,0.0
7th Dragon 2020-II,2013.0,Role-Playing,0.13,0.13,0.0,0.0,0.0
7th Dragon III Code: VFD,2015.0,Role-Playing,0.16,0.12,0.03,0.0,0.0
99 no Namida,2008.0,Adventure,0.04,0.04,0.0,0.0,0.0
"999: Nine Hours, Nine Persons, Nine Doors",2009.0,Adventure,0.43,0.03,0.37,0.0,0.03
A Boy and His Blob,2009.0,Platform,0.22,0.0,0.19,0.02,0.02
A Bug's Life,1998.0,Platform,3.42,0.0,2.45,0.85,0.12
A Collection of Activision Classic Games for the Atari 2600,1998.0,Misc,1.37,0.0,0.76,0.52,0.09
A Collection of Classic Games from the Intellivision,1999.0,Misc,0.31,0.0,0.17,0.12,0.02
A Game of Thrones: Genesis,2011.0,Strategy,0.04,0.0,0.0,0.03,0.01
A Good Librarian Like a Good Shepherd: Library Party,2015.0,Action,0.03,0.03,0.0,0.0,0.0
A New Beginning,2010.0,Adventure,0.06,0.0,0.0,0.05,0.01
A Ressha de Gyoukou 2001,2001.0,Simulation,0.03,0.03,0.0,0.0,0.0
A Ressha de Ikou DS,2009.0,Simulation,0.04,0.04,0.0,0.0,0.0
A Vampyre Story,2008.0,Adventure,0.02,0.0,0.0,0.01,0.0
A Witch's Tale,2009.0,Role-Playing,0.11,0.03,0.08,0.0,0.01
A llI S.V.: A Ressha de Gyoukou 3 Super Version,1995.0,Simulation,0.06,0.06,0.0,0.0,0.0
A-Train,1995.0,Simulation,0.08,0.04,0.02,0.01,0.01
A-Train 6,2000.0,Strategy,0.06,0.06,0.0,0.0,0.0
A-Train: City Simulator,2014.0,Simulation,0.06,0.06,0.0,0.0,0.0
A. IV Evolution: A Ressha de Ikou 4,1994.0,Strategy,0.25,0.24,0.0,0.0,0.02
A.C.E.: Another Century's Episode,2005.0,Simulation,0.26,0.26,0.0,0.0,0.0
A.C.E.: Another Century's Episode 2,2006.0,Simulation,0.18,0.18,0.0,0.0,0.0
A.C.E.: Another Century's Episode 3: The Final,2007.0,Simulation,0.26,0.26,0.0,0.0,0.0
A.C.E.: Another Century's Episode Portable,2011.0,Simulation,0.12,0.12,0.0,0.0,0.0
A.C.E.: Another Century's Episode R,2010.0,Simulation,0.26,0.26,0.0,0.0,0.0
ABBA: You Can Dance,2011.0,Misc,0.8,0.0,0.19,0.5,0.11
AC/DC LIVE: Rock Band Track Pack,2008.0,Misc,0.91,0.0,0.75,0.07,0.08
AIR,2007.0,Adventure,0.02,0.02,0.0,0.0,0.0
AKB1/149: Love Election,2012.0,Adventure,0.38,0.38,0.0,0.0,0.0
AKB1/48: Idol to Guam de Koishitara...,2006.0,Misc,0.41,0.41,0.0,0.0,0.0
AKB1/48: Idol to Koishitara...,2010.0,Misc,0.41,0.41,0.0,0.0,0.0
AKB48+Me,2012.0,Action,0.11,0.11,0.0,0.0,0.0
AMF Bowling 2004,2003.0,Sports,0.3,0.0,0.22,0.06,0.01
AMF Bowling Pinbusters!,2007.0,Sports,0.98,0.0,0.91,0.0,0.07
AMF Bowling World Lanes,2008.0,Sports,0.36,0.0,0.33,0.0,0.03
AMF Xtreme Bowling,2006.0,Sports,0.02,0.0,0.01,0.01,0.0
AMNESIA World,2014.0,Adventure,0.03,0.03,0.0,0.0,0.0
APB Reloaded,2011.0,Role-Playing,0.04,0.0,0.02,0.01,0.0
ASH: Archaic Sealed Heat,2007.0,Role-Playing,0.12,0.12,0.0,0.0,0.0
ATV Offroad Fury,2001.0,Racing,2.41,0.0,2.07,0.26,0.08
ATV Offroad Fury 2,2002.0,Racing,2.18,0.0,1.92,0.2,0.06
ATV Offroad Fury 3,2004.0,Racing,1.2,0.0,1.0,0.04,0.16
ATV Offroad Fury Pro,2006.0,Racing,0.46,0.0,0.37,0.04,0.05
ATV Offroad Fury: Blazin' Trails,2005.0,Racing,0.57,0.0,0.53,0.0,0.04
ATV Quad Kings,2009.0,Racing,0.33,0.0,0.31,0.0,0.02
ATV Quad Power Racing 2,2003.0,Racing,1.57,0.0,0.99,0.45,0.13
ATV/Monster Truck Mayhem,2007.0,Racing,0.36,0.0,0.33,0.0,0.02
ATV: Quad Frenzy,2005.0,Racing,0.11,0.0,0.1,0.0,0.01
ATV: Quad Power Racing,2000.0,Racing,1.3,0.0,0.76,0.46,0.07
Aa Megami-samaa,2007.0,Adventure,0.01,0.01,0.0,0.0,0.0
Abunai: Koi no Sousa Shitsu,2012.0,Action,0.03,0.03,0.0,0.0,0.0
Academy of Champions: Soccer,2009.0,Sports,0.13,0.0,0.1,0.02,0.01
Accel World: Ginyoku no Kakusei,2012.0,Adventure,0.06,0.06,0.0,0.0,0.0
Accel World: Kasoku no Chouten,2013.0,Adventure,0.03,0.03,0.0,0.0,0.0
Ace Attorney 6,2016.0,Adventure,0.27,0.27,0.0,0.0,0.0
Ace Attorney Investigations 2,2011.0,Adventure,0.26,0.26,0.0,0.0,0.0
Ace Attorney Investigations: Miles Edgeworth,2009.0,Adventure,0.76,0.3,0.27,0.15,0.04
Ace Combat 04: Shattered Skies,2001.0,Simulation,3.17,0.38,2.06,0.56,0.17
Ace Combat 2,1997.0,Simulation,0.89,0.56,0.16,0.11,0.06
Ace Combat 3: Electrosphere,1999.0,Simulation,0.83,0.4,0.22,0.15,0.05
Ace Combat 5: The Unsung War,2004.0,Simulation,1.71,0.32,0.88,0.34,0.18
Ace Combat 6: Fires of Liberation,2007.0,Simulation,1.02,0.22,0.69,0.04,0.06
Ace Combat X: Skies of Deception,2006.0,Simulation,0.99,0.12,0.37,0.31,0.19
Ace Combat Zero: The Belkan War,2006.0,Simulation,0.51,0.2,0.15,0.12,0.04
Ace Combat: Assault Horizon,2011.0,Action,1.23,0.25,0.6,0.28,0.11
Ace Combat: Assault Horizon Legacy,2011.0,Simulation,0.24,0.08,0.1,0.06,0.01
Ace Combat: Joint Assault,2010.0,Simulation,0.29,0.15,0.06,0.05,0.03
Achtung Panzer: Kharkov 1943,2010.0,Strategy,0.02,0.0,0.0,0.01,0.0
Act of Aggression,2015.0,Strategy,0.01,0.0,0.0,0.01,0.0
Action Bass,2000.0,Action,1.14,0.0,0.64,0.43,0.07
Action Force,1982.0,Action,0.54,0.0,0.5,0.03,0.01
Action Man-Operation Extreme,2006.0,Action,0.09,0.0,0.05,0.03,0.01
Active Health with Carol Vorderman,2009.0,Sports,0.19,0.0,0.0,0.18,0.01
Active Life Explorer,2010.0,Sports,0.15,0.0,0.14,0.0,0.01
Active Life: Extreme Challenge,2009.0,Sports,0.48,0.0,0.15,0.27,0.06
Active Life: Magical Carnival,2011.0,Misc,0.05,0.0,0.04,0.01,0.0
Active Life: Outdoor Challenge,2008.0,Sports,1.55,0.19,0.79,0.44,0.14
Activision Anthology,2002.0,Misc,0.55,0.0,0.28,0.2,0.06
Activision Hits: Remixed,2006.0,Misc,0.06,0.0,0.05,0.0,0.0
Actua Tennis,1997.0,Sports,0.13,0.0,0.07,0.05,0.01
Adidas Power Soccer,1996.0,Sports,0.04,0.0,0.02,0.01,0.0
Adidas Power Soccer 98,1998.0,Sports,0.02,0.0,0.01,0.01,0.0
Adrenalin Misfits,2010.0,Racing,0.14,0.0,0.12,0.02,0.01
Advance Guardian Heroes,2004.0,Role-Playing,0.04,0.0,0.03,0.01,0.0
Advance Wars,2001.0,Strategy,0.7,0.0,0.5,0.19,0.01
Advance Wars 2: Black Hole Rising,2003.0,Strategy,0.65,0.0,0.47,0.17,0.01
Advance Wars: Days of Ruin,2006.0,Strategy,0.63,0.0,0.44,0.13,0.06
Advance Wars: Dual Strike,2005.0,Strategy,0.4,0.04,0.3,0.03,0.03
Advent Rising,2005.0,Action,0.13,0.0,0.1,0.03,0.0
Adventure,2006.0,Adventure,1.3,0.0,1.21,0.08,0.01
Adventure Island,1986.0,Platform,1.05,1.05,0.0,0.0,0.0
Adventure Time: Explore the Dungeon Because I Don't Know!,2013.0,Action,0.3,0.0,0.17,0.1,0.03
Adventure Time: Finn & Jake Investigations,2015.0,Action,0.45,0.0,0.14,0.26,0.05
Adventure Time: The Secret of the Nameless,2014.0,Adventure,0.03,0.0,0.02,0.0,0.0
Adventure Time: The Secret of the Nameless Kingdom,2014.0,Action,0.17,0.0,0.0,0.15,0.01
Adventures of Lolo,1989.0,Puzzle,0.06,0.0,0.06,0.0,0.0
Adventures of Tron,1981.0,Action,0.67,0.0,0.63,0.03,0.01
Adventures to Go!,2008.0,Role-Playing,0.13,0.01,0.1,0.0,0.01
Aedis Eclipse: Generation of Chaos,2006.0,Role-Playing,0.02,0.0,0.02,0.0,0.0
Aegis of Earth: Protonovus Assault,2016.0,Action,0.09,0.0,0.05,0.02,0.01
Aeon Flux,2005.0,Action,0.05,0.0,0.03,0.02,0.01
Aero Elite: Combat Academy,2002.0,Simulation,0.07,0.0,0.04,0.03,0.01
Aero Gauge,1997.0,Racing,0.07,0.0,0.06,0.01,0.0
AeroFighters Assault,1997.0,Action,0.19,0.0,0.15,0.04,0.0
Afrika,2008.0,Adventure,0.21,0.08,0.12,0.0,0.01
Afro Samurai,2009.0,Action,0.44,0.0,0.28,0.1,0.05
After Hours Athletes,2011.0,Sports,0.12,0.0,0.0,0.1,0.03
Again,2009.0,Adventure,0.07,0.0,0.07,0.0,0.0
Agarest Senki: Re-appearance,2006.0,Role-Playing,0.01,0.01,0.0,0.0,0.0
Agassi Tennis Generation,2003.0,Sports,0.09,0.0,0.04,0.03,0.01
Agatha Christie's The ABC Murders,2016.0,Adventure,0.02,0.0,0.01,0.01,0.0
Agatha Christie: And Then There Were None,2008.0,Adventure,0.08,0.0,0.06,0.01,0.01
Agatha Christie: Death on the Nile,2008.0,Adventure,0.02,0.0,0.0,0.01,0.0
Agatha Christie: Evil Under the Sun,2008.0,Adventure,0.09,0.0,0.07,0.02,0.01
Agatha Christie: Peril at End House,2009.0,Adventure,0.01,0.0,0.0,0.01,0.0
Agatha Christie: The ABC Murders,2009.0,Adventure,0.12,0.0,0.08,0.03,0.01
Age of Conan: Rise of the Godslayer,2010.0,Role-Playing,0.03,0.0,0.0,0.02,0.0
Age of Empires II: The Age of Kings,1999.0,Strategy,0.1,0.0,0.01,0.08,0.02
Age of Empires III,2005.0,Strategy,0.39,0.0,0.0,0.32,0.07
Age of Empires III: Complete Collection,2009.0,Strategy,0.17,0.0,0.01,0.12,0.03
Age of Empires III: Gold Edition,2007.0,Strategy,0.03,0.0,0.0,0.02,0.01
Age of Empires III: The Asian Dynasties,2007.0,Strategy,0.07,0.0,0.0,0.05,0.01
Age of Empires Online,2011.0,Strategy,0.06,0.0,0.01,0.04,0.01
Age of Empires: Collector's Edition,2000.0,Strategy,0.14,0.0,0.02,0.1,0.02
Age of Empires: Mythologies,2008.0,Strategy,0.22,0.0,0.17,0.03,0.02
Age of Empires: The Age of Kings,2006.0,Strategy,0.23,0.0,0.19,0.02,0.02
Age of Mythology,2002.0,Strategy,0.09,0.0,0.02,0.06,0.01
Age of Mythology: The Titans,2003.0,Strategy,0.04,0.0,0.01,0.02,0.0
Aggressive Inline,2002.0,Sports,0.47,0.0,0.26,0.15,0.04
Agile Warrior F-111X,1995.0,Simulation,0.14,0.0,0.08,0.05,0.01
Aibou DS,2009.0,Adventure,0.08,0.08,0.0,0.0,0.0
Aidyn Chronicles: The First Mage,2001.0,Role-Playing,0.1,0.0,0.08,0.02,0.0
Aikatsu! 2-nin no My Princess,2013.0,Action,0.26,0.26,0.0,0.0,0.0
Aikatsu! 365 Idol Days,2014.0,Adventure,0.13,0.13,0.0,0.0,0.0
Aikatsu! Cinderella Lesson,2012.0,Role-Playing,0.2,0.2,0.0,0.0,0.0
Aikatsu! My No.1 Stage!,2015.0,Misc,0.07,0.07,0.0,0.0,0.0
Ailu de Puzzle,2012.0,Action,0.04,0.04,0.0,0.0,0.0
Air Combat,1995.0,Simulation,1.83,0.52,0.92,0.33,0.05
Air Conflicts: Aces of World War II,2009.0,Simulation,0.05,0.0,0.05,0.0,0.0
Air Conflicts: Secret Wars,2011.0,Simulation,0.3,0.0,0.16,0.1,0.05
Air Raid,1981.0,Action,0.77,0.0,0.72,0.04,0.01
Air Traffic Chaos,2007.0,Simulation,0.05,0.0,0.05,0.0,0.0
Air-Sea Battle,2006.0,Shooter,0.98,0.0,0.91,0.06,0.01
AirForce Delta Storm,2001.0,Shooter,0.2,0.0,0.16,0.05,0.01
AirForce Delta Strike,2004.0,Simulation,0.11,0.0,0.05,0.04,0.01
Airblade,2001.0,Sports,0.23,0.0,0.11,0.09,0.03
Airborne Troops: Countdown to D-Day,2005.0,Shooter,0.12,0.0,0.06,0.05,0.02
Airline Tycoon,2000.0,Simulation,0.02,0.0,0.0,0.01,0.0
Airline Tycoon 2,2011.0,Simulation,0.05,0.0,0.0,0.04,0.01
Airlock,1981.0,Action,0.39,0.0,0.36,0.02,0.0
Airport Simulator,2011.0,Simulation,0.02,0.0,0.0,0.02,0.0
Airship Q,2015.0,Platform,0.03,0.03,0.0,0.0,0.0
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,2008.0,Adventure,0.06,0.06,0.0,0.0,0.0
Akai Ito DS,2008.0,Adventure,0.02,0.02,0.0,0.0,0.0
Akai Katana Shin,2011.0,Shooter,0.06,0.01,0.04,0.0,0.0
Akane Iro ni Somaru Saka Parallel,2008.0,Adventure,0.03,0.03,0.0,0.0,0.0
Akatsuki no Amaneka to Aoi Kyojin,2010.0,Strategy,0.01,0.01,0.0,0.0,0.0
Akatsuki no Goei Trinity,2012.0,Adventure,0.02,0.02,0.0,0.0,0.0
Akiba's Trip,2011.0,Adventure,0.14,0.14,0.0,0.0,0.0
Akiba's Trip Plus,2012.0,Adventure,0.08,0.08,0.0,0.0,0.0
Akiba's Trip: Undead & Undressed,2013.0,Action,0.43,0.13,0.22,0.03,0.06
Akko ni Omakase! Brain Shock,2006.0,Misc,0.04,0.04,0.0,0.0,0.0
Akuji the Heartless,1998.0,Platform,0.12,0.0,0.07,0.04,0.01
Aladdin Magic Racer,2011.0,Racing,0.01,0.0,0.01,0.0,0.0
Alan Wake,2010.0,Action,1.42,0.05,0.66,0.57,0.14
Alex Rider: Stormbreaker,2006.0,Action,0.07,0.0,0.06,0.0,0.0
Alexi Lalas International Soccer,1998.0,Sports,0.07,0.0,0.04,0.03,0.0
Alfa Romeo Racing Italiano,2005.0,Racing,0.01,0.0,0.01,0.01,0.0
Alia's Carnival! Sacrament,2015.0,Adventure,0.03,0.03,0.0,0.0,0.0
Alias,2004.0,Action,0.16,0.0,0.09,0.05,0.01
Alice in Wonderland,2010.0,Adventure,1.03,0.0,0.54,0.39,0.1
Alice: Madness Returns,2011.0,Adventure,1.22,0.08,0.49,0.5,0.15
Alien,1981.0,Action,0.79,0.0,0.74,0.04,0.01
Alien Breed Trilogy,2011.0,Shooter,0.03,0.0,0.0,0.02,0.0
Alien Hominid,2004.0,Shooter,0.19,0.0,0.12,0.06,0.01
Alien Monster Bowling League,2009.0,Sports,0.09,0.0,0.09,0.0,0.01
Alien Resurrection,2000.0,Shooter,0.16,0.0,0.09,0.06,0.01
Alien Syndrome,2007.0,Role-Playing,0.14,0.0,0.13,0.0,0.01
Alien Trilogy,1996.0,Shooter,0.47,0.04,0.24,0.16,0.03
Alien's Return,1982.0,Action,0.34,0.0,0.32,0.02,0.0
Alien: Isolation,2014.0,Shooter,2.45,0.04,0.83,1.25,0.34
Alienators: Evolution Continues,2001.0,Action,0.03,0.0,0.03,0.01,0.0
Aliens in the Attic,2009.0,Action,0.13,0.0,0.12,0.0,0.01
Aliens versus Predator: Extinction,2003.0,Strategy,0.27,0.0,0.15,0.09,0.02
Aliens vs Predator,2010.0,Shooter,2.3,0.0,0.96,1.04,0.31
Aliens vs Predator: Requiem,2007.0,Action,0.22,0.0,0.03,0.12,0.07
Aliens: Colonial Marines,2013.0,Shooter,1.62,0.0,0.66,0.74,0.22
Aliens: Infestation,2011.0,Action,0.18,0.0,0.1,0.06,0.02
All Grown Up! Express Yourself,2004.0,Misc,0.18,0.0,0.13,0.05,0.0
All Grown Up!: Game Boy Advance Video Volume 1,2004.0,Misc,0.24,0.0,0.17,0.06,0.0
All Japan Pro Wrestling featuring Virtua,1997.0,Fighting,0.15,0.15,0.0,0.0,0.0
All Kamen Rider: Rider Generation,2011.0,Action,0.12,0.12,0.0,0.0,0.0
All Kamen Rider: Rider Generation 2,2012.0,Action,0.16,0.16,0.0,0.0,0.0
All Points Bulletin,2010.0,Role-Playing,0.04,0.0,0.0,0.03,0.01
All Star Cheer Squad,2008.0,Sports,1.08,0.0,0.69,0.29,0.1
All Star Cheer Squad 2,2009.0,Sports,0.13,0.0,0.12,0.0,0.01
All Star Karate,2010.0,Action,0.23,0.0,0.14,0.07,0.02
All Star Pro-Wrestling,2000.0,Fighting,0.2,0.2,0.0,0.0,0.0
All Star Tennis 99,1999.0,Sports,0.05,0.0,0.04,0.01,0.0
All-Pro Football 2K8,2007.0,Sports,0.41,0.0,0.38,0.0,0.03
All-Star Baseball 2000,1999.0,Sports,0.39,0.0,0.36,0.03,0.0
All-Star Baseball 2001,2000.0,Sports,0.23,0.0,0.22,0.01,0.0
All-Star Baseball 2002,2001.0,Sports,0.78,0.0,0.44,0.25,0.08
All-Star Baseball 2003,2002.0,Sports,1.33,0.0,0.8,0.42,0.11
All-Star Baseball 2004,2003.0,Sports,0.7,0.0,0.42,0.23,0.05
All-Star Baseball 2005,2006.0,Sports,0.47,0.0,0.27,0.15,0.05
All-Star Baseball 99,1998.0,Sports,0.48,0.0,0.44,0.04,0.0
Alleyway,1989.0,Puzzle,1.94,0.55,0.96,0.38,0.05
Allied General,1996.0,Strategy,0.19,0.0,0.11,0.07,0.01
Alone in the Dark,2008.0,Adventure,0.74,0.0,0.26,0.41,0.08
Alone in the Dark: Inferno,2008.0,Adventure,0.14,0.0,0.09,0.03,0.02
Alone in the Dark: One-Eyed Jack's Revenge,1996.0,Adventure,0.31,0.0,0.17,0.12,0.02
Alone in the Dark: The New Nightmare,2006.0,Adventure,0.16,0.0,0.09,0.06,0.01
Alpha Protocol,2010.0,Role-Playing,0.87,0.0,0.42,0.34,0.12
Alpha and Omega,2010.0,Action,0.07,0.0,0.06,0.0,0.0
Alter Echo,2003.0,Shooter,0.18,0.0,0.1,0.06,0.02
Alter Ego,1985.0,Simulation,0.03,0.0,0.0,0.03,0.01
Altered Beast: Guardian of the Realms,2002.0,Action,0.09,0.0,0.07,0.02,0.0
Alundra,1997.0,Role-Playing,0.23,0.0,0.13,0.09,0.01
Alundra 2: A New Legend Begins,1999.0,Role-Playing,0.27,0.0,0.15,0.1,0.02
Alvin and the Chipmunks,2007.0,Misc,0.27,0.0,0.21,0.03,0.02
Alvin and the Chipmunks: Chipwrecked,2011.0,Misc,0.31,0.0,0.23,0.05,0.03
Alvin and the Chipmunks: The Squeakquel,2009.0,Misc,0.4,0.0,0.37,0.0,0.03
Amagami,2009.0,Adventure,0.32,0.32,0.0,0.0,0.0
Amagoushi no Yakata,2007.0,Adventure,0.02,0.02,0.0,0.0,0.0
Amatsumi Sora ni! Kumo no Hatate ni,2015.0,Adventure,0.02,0.02,0.0,0.0,0.0
Amazing Adventures: The Forgotten Ruins,2008.0,Adventure,0.24,0.0,0.13,0.08,0.02
Amazing Island,2004.0,Strategy,0.06,0.0,0.04,0.01,0.0
America Oudan Ultra-Quiz,1995.0,Misc,0.02,0.02,0.0,0.0,0.0
America's Army: Rise of a Soldier,2005.0,Shooter,0.25,0.0,0.19,0.05,0.01
America's Army: True Soldiers,2007.0,Shooter,0.08,0.0,0.08,0.0,0.01
America's Next Top Model,2008.0,Action,0.18,0.0,0.18,0.0,0.02
America's Test Kitchen: Let's Get Cooking,2010.0,Simulation,0.27,0.0,0.25,0.0,0.02
American Bass Challenge,2001.0,Sports,0.05,0.0,0.03,0.01,0.0
American Chopper,2004.0,Racing,0.57,0.0,0.46,0.04,0.07
American Chopper 2: Full Throttle,2005.0,Racing,0.28,0.0,0.17,0.09,0.02
American Girl: Julie Finds a Way,2007.0,Adventure,0.11,0.0,0.1,0.0,0.01
