Titulo,Vendas_Totais
Pac-Man & Galaga Dimensions,0.19
Valhalla Knights 3,0.19
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),0.19
Monster 4x4: Stunt Racer,0.19
AeroFighters Assault,0.19
Atelier Sophie: The Alchemist of the Mysterious Book,0.19
Bubsy 3D,0.19
Saint Seiya: Soldiers' Soul,0.19
The Voice,0.19
The Scorpion King: Sword of Osiris,0.19
Mathews Bowhunting,0.19
Magical Starsign (US sales),0.19
The Da Vinci Code,0.18
Just Cause,0.18
Far East of Eden II: Manji Maru,0.18
Tokimeki Memorial: Taisen Pazurudama,0.18
Company of Heroes: Anthology,0.18
Sports Illustrated for Kids: Football,0.18
Yamaha Supercross,0.18
Monster High: New Ghoul in School,0.18
Family Fortunes,0.18
Monster Hunter Frontier Online,0.18
Camp Rock: The Final Jam,0.18
LEGO Island 2: The Brickster's Revenge,0.18
Tales of the Tempest,0.18
Jurassic Park III: Island Attack,0.18
TalkMan (Japan),0.18
K-1 World Grand Prix,0.18
Cel Damage,0.18
Alter Echo,0.18
Tokyo Xtreme Racer DRIFT,0.18
Daigasso! Band Brothers P,0.18
Ball Breakers,0.18
America's Next Top Model,0.18
World of Outlaws: Sprint Cars,0.18
Worms Forts: Under Siege,0.18
Frogger: Ancient Shadow,0.18
Speedball 2100,0.18
Harvest Moon: A Wonderful Life Special Edition,0.18
A.C.E.: Another Century's Episode 2,0.18
Driving Emotion Type-S,0.18
Tokyo Twilight Ghost Hunters,0.18
ZhuZhu Puppies,0.18
Bloody Roar: Primal Fury,0.18
Ar tonelico 2: Melody of Metafalica,0.18
SimCity Creator (JP sales),0.18
Dance Dance Revolution: Disney Grooves,0.18
Jewel Match,0.18
Happy Cooking,0.18
Blood Drive,0.18
Mobile Suit Gundam Seed Destiny: Generation of C.E.,0.18
Casper: Friends Around the World,0.18
Siren,0.18
Fear Effect 2: Retro Helix,0.18
Virtua Tennis,0.18
Ringling Bros. and Barnum & Bailey Circus,0.18
Backyard Basketball,0.18
UFC: Sudden Impact,0.18
International Superstar Soccer 2000 (JP weekly sales),0.18
Ys: The Ark of Napishtim,0.18
Twisted Metal: Small Brawl,0.18
Chocobo no Fushigi Dungeon for WonderSwan,0.18
Teenage Mutant Ninja Turtles: Mutants in Manhattan,0.18
Army Men: RTS,0.18
Lips: Party Classics,0.18
Little League World Series Baseball 2010,0.18
Reel Fishing II,0.18
Otomedius Excellent,0.18
Over the Hedge: Hammy Goes Nuts!,0.18
The Adventures of Cookie & Cream,0.18
Fancy Nancy: Tea Party Time!,0.18
My French Coach,0.18
Mega Man Soccer,0.18
Armored Core: Last Raven,0.18
Hatsune Miku and Future Stars: Project Mirai,0.18
Classic Road,0.18
Hello Kitty: Birthday Adventures,0.18
Shape Up,0.18
The Game of Life / Yahtzee / Payday,0.18
Super Robot Taisen A Portable,0.18
Godzilla (2015),0.18
Cate West: The Vanishing Files,0.18
Battle Commander: Hachibushu Shura no Heihou,0.18
Velvet Assassin,0.18
Nep League DS,0.18
EyeToy: Groove,0.18
Disney Friends,0.18
Pirates: Hunt For Blackbeard's Booty,0.18
Pok?mon I Choose You / Squirtle Squad Game Boy Advance Video,0.18
Rabbids Party Collection,0.18
Race Pro,0.18
Trinity Universe,0.18
GameBoy Wars,0.18
Test Drive Off-Road Wide Open,0.18
Half-Minute Hero,0.18
Jampack Vol. 1,0.18
.hack//Quarantine Part 4: The Final Chapter,0.18
Shadow Madness,0.18
Rally Fusion: Race of Champions,0.18
Shawn Johnson Gymnastics,0.18
Let's TAP,0.18
WordJong Party,0.18
Brunswick Cosmic Bowling,0.18
The History Channel: Great Battles - Medieval,0.18
Utawarerumono: Itsuwari no Kamen,0.18
Nancy Drew: The Hidden Staircase,0.18
Naruto Shippuden: Dragon Blade Chronicles,0.18
Vampire Savior: The Lord of Vampire,0.18
Close Combat: First to Fight,0.18
Klonoa: Door to Phantomile,0.18
Knights in the Nightmare,0.18
Atari Anniversary Edition Redux,0.18
Atari Anniversary Advance,0.18
F1 Challenge,0.18
Metal Gear Ac!d 2,0.18
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,0.18
Aliens: Infestation,0.18
Gokujou Parodius,0.18
All Grown Up! Express Yourself,0.18
Amplitude,0.18
Castlevania Judgment,0.18
Trauma Team,0.18
NASCAR The Game: Inside Line,0.18
Kidou Senshi Gundam: Senjou no Kizuna Portable,0.18
Super Robot Taisen J,0.18
Super Robot Taisen UX,0.18
Indiana Jones and the Emperor's Tomb,0.18
We Sing UK Hits,0.18
Mercury Meltdown Revolution,0.18
Disney Golf,0.17
Zoo Keeper,0.17
Yu-Gi-Oh! Zexal World Duel Carnival,0.17
.hack//G.U. Vol.1//Rebirth,0.17
Pursuit Force: Extreme Justice,0.17
Lost in Blue 3,0.17
Project Spark,0.17
Pursuit Force,0.17
Power Pro Kun Pocket,0.17
Naruto Shippuden: Ultimate Ninja 5,0.17
Hanjuku Eiyuu Tai 3D,0.17
Wolfenstein 3D,0.17
Age of Empires III: Complete Collection,0.17
Sword of the Samurai,0.17
Country Dance: All Stars,0.17
Tamagotchi no Narikiri Challenge,0.17
Gallop Racer 2001,0.17
Mahjong Fight Club,0.17
Super Robot Taisen Compact 2 Dai-1-Bu,0.17
Mr. Do!'s Castle,0.17
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,0.17
Hyperdimension Neptunia U: Action Unleashed,0.17
Hunter: The Reckoning Redeemer,0.17
Gyakuten Saiban 3,0.17
Tokimeki Memorial: Private Collection,0.17
Hello Kitty: Happy Party Pals,0.17
Time and Eternity,0.17
Beat Down: Fists of Vengeance,0.17
N3 II: Ninety-Nine Nights,0.17
NASCAR '15,0.17
Cubivore: Survival of the Fittest,0.17
Garfield: Lasagna World Tour,0.17
TransFormers Animated: The Game,0.17
The Wild Thornberrys: Animal Adventures,0.17
Learning to Spell,0.17
Mark Davis Pro Bass Challenge,0.17
VR Golf '97,0.17
Buzz! Brain of the UK,0.17
Matchbox Cross Town Heroes,0.17
Wildstar,0.17
Easy Piano,0.17
NatGeo Challenge! Wild Life,0.17
Dead or Alive Paradise,0.17
Michael Jackson: The Experience 3D,0.17
RollerCoaster Tycoon,0.17
Marble Saga: Kororinpa,0.17
Mousetrap / Operation / Simon,0.17
Shin Megami Tensei IV: Final,0.17
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,0.17
Smash Court Tennis Pro Tournament,0.17
Super Power League,0.17
Reloaded,0.17
Dragon Ball GT: Game Boy Advance Video Volume 1,0.17
Fuzion Frenzy 2,0.17
Spyro: Shadow Legacy,0.17
Sports Illustrated for Kids: Baseball,0.17
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),0.17
Mega Man Network Transmission,0.17
Finding Nemo: Escape to the Big Blue,0.17
Sudoku Gridmaster,0.17
Exhibition Volume 02,0.17
Resident Evil Director's Cut: Dual Shock Edition,0.17
Watchmen: The End is Nigh - The Complete Experience,0.17
SaGa 2: Hihou Densetsu - Goddess of Destiny,0.17
SEGA Bass Fishing Duel,0.17
The Sims 3: Seasons,0.17
Itoi Shigesato no Bass Tsuri No. 1,0.17
Gunvalkyrie,0.17
Mojo!,0.17
Gundam Assault Survive,0.17
Time Commando,0.17
The Secret World,0.17
Clock Tower II: The Struggle Within,0.17
Bomberman 64: The Second Attack!,0.17
Bomberman B-Daman,0.17
Death Trap,0.17
Dragon Ball: Fusions,0.17
Tokyo Xtreme Racer,0.17
Tak: Mojo Mistake,0.17
Armor Ambush,0.17
Sega Superstars,0.17
NBA Inside Drive 2004,0.17
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,0.17
Space Griffon VF-9,0.17
Off-World Interceptor Extreme,0.17
Lost Kingdoms,0.17
Klonoa,0.17
Codename: Kids Next Door: Game Boy Advance Video Volume 1,0.17
Street Fighter: The Movie,0.17
Space Battleship Yamato: Harukanaru Hoshi Iscandar,0.17
Sound Novel Evolution 1: Otogirisou Sosei-Hen,0.17
Disney's Home on the Range,0.17
Shrek Extra Large,0.17
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,0.17
Let's Play Ballerina,0.17
Sid Meier's Civilization IV,0.17
Petz: Horseshoe Ranch,0.17
Family Feud Decades,0.17
World Driver Championship,0.17
Nightmare Creatures II,0.17
NCAA Football 09 All-Play,0.17
Secret Files: Tunguska,0.17
Super Robot Taisen L,0.17
Jillian Michaels Fitness Ultimatum 2011,0.17
Fighter Maker,0.17
Damnation,0.17
Macross Ultimate Frontier,0.17
DuckTales: Remastered,0.17
Custom Robo Arena,0.17
Dream Pinball 3D,0.17
Broken Sword: Shadows of the Templars - The Director's Cut,0.17
Sumikko Gurashi: Koko ga Ochitsukundesu,0.17
Global Defence Force,0.17
Cabela's Big Game Hunter: Hunting Party,0.17
World Tour Soccer 2006,0.17
Project X Zone 2: Brave New World,0.17
.hack//G.U. Vol.3//Redemption,0.17
"Crouching Tiger, Hidden Dragon",0.17
Brothers: A Tale of Two Sons,0.17
"Go, Diego, Go! Safari Rescue",0.17
Professional Fisherman's Tour: Northern Hemisphere,0.17
Densetsu no Stafi 4,0.17
Dementium: The Ward,0.17
Ringling Bros. and Barnum & Bailey: Circus Friends,0.17
EyeToy: Kinetic,0.17
Solitaire Overload Plus,0.17
Torino 2006,0.17
Pok?mon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,0.17
PlayStation Move Heroes,0.17
Luxor 3,0.17
Turok 3: Shadow of Oblivion,0.17
MDK2 Armageddon,0.17
Kekkaishi: Karasumori Ayakashi Kidan,0.17
Thief: Deadly Shadows,0.17
TOEIC Test Training DS,0.17
RC Revenge Pro,0.17
Naval Assault: The Killing Tide,0.17
ESPN Final Round Golf 2002,0.17
Gretzky NHL 2005,0.17
Adventure Time: The Secret of the Nameless Kingdom,0.17
Disney's PK: Out of the Shadows,0.17
SpongeBob: HeroPants,0.17
Strikers 1945,0.17
Cold Fear,0.17
ShellShock 2: Blood Trails,0.17
Knights Contract,0.17
McDROID,0.17
Scooby-Doo! Who's Watching Who?,0.17
Little League World Series Baseball: Double Play,0.17
Scaler,0.17
Escape Dead Island,0.17
Gladiator: Sword of Vengeance,0.17
Guilty Gear XX Accent Core Plus,0.17
Constantine,0.17
Disney's Chicken Little: Ace In Action,0.17
IndyCar Series,0.17
F1 2002,0.17
Frogger: Helmet Chaos,0.17
Game of Thrones (Telltale),0.17
Rodea the Sky Soldier,0.16
Final Fantasy XIV: Heavensward,0.16
Speed Kings,0.16
Spider-Man: Web of Shadows - Amazing Allies Edition,0.16
Field Commander,0.16
King's Field,0.16
Fighters Destiny,0.16
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,0.16
Pen 1 Grand Prix: Penguin no Mondai Special,0.16
DS Rakubiki Jiten,0.16
Yu-Gi-Oh! 5D's: Duel Transer,0.16
Ener-G: Dance Squad,0.16
Kamaitachi no Yoru ? 3,0.16
Left Brain Right Brain: Use Both Hands Train Both Sides,0.16
Bomberman Land Touch! 2,0.16
Doctor Lautrec and the Forgotten Knights,0.16
Doctor Who: Evacuation Earth,0.16
Disney's American Dragon Jake Long: Attack of the Dark Dragon,0.16
Midnight Mysteries: The Edgar Allan Poe Conspiracy,0.16
Innocent Life: A Futuristic Harvest Moon,0.16
Alien Resurrection,0.16
Minna no DS Seminar: Kanpeki Kanji Ryoku,0.16
Ferrari Challenge Trofeo Pirelli,0.16
J-League Jikkyou Winning Eleven 2000,0.16
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,0.16
Scripps Spelling Bee,0.16
Tom and Jerry: Infurnal Escape,0.16
Hatsune Miku: Project Diva X,0.16
Dead Island Definitive Collection,0.16
All Kamen Rider: Rider Generation 2,0.16
Dewy's Adventure,0.16
Mr. Driller 2,0.16
The Incredible Hulk: The Pantheon Saga,0.16
Hysteria Hospital: Emergency Ward,0.16
7th Dragon III Code: VFD,0.16
Jurassic Park: The Game,0.16
The Idolm@ster 2,0.16
F-Zero: GP Legend,0.16
Hamster Heroes,0.16
Kid Adventures: Sky Captain,0.16
Asteroids Hyper 64,0.16
Casper: Spirit Dimensions,0.16
Trivial Pursuit: Bet You Know It,0.16
True Swing Golf,0.16
ESPN College Hoops,0.16
Hannah Montana: Rock Out the Show,0.16
Wonder Project J2: Koruro no Mori no Josette,0.16
Power Rangers Double Pack,0.16
Puzzle Quest: Galactrix,0.16
WordJong,0.16
Arcana Heart,0.16
Summon Night EX-Thesis: Yoake no Tsubasa,0.16
Namco Classic Fighter Collection,0.16
Toriko: Gourmet Monsters!,0.16
Racing Lagoon,0.16
Rondo of Swords (US sales),0.16
Konami Krazy Racers,0.16
Infected,0.16
Kawa no Nushi Tsuri,0.16
Culdcept SAGA,0.16
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,0.16
Dungeon Siege: Throne of Agony,0.16
Buck Bumble,0.16
To Heart 2: Dungeon Travelers,0.16
Amped 3,0.16
Wing Commander III: Heart of the Tiger,0.16
The Wild Thornberrys: Chimp Chase,0.16
Eve: The Lost One,0.16
7 Days to Die,0.16
Kingdom Hearts: Birth by Sleep - Final Mix,0.16
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,0.16
Victorious: Hollywood Arts Debut,0.16
Gunslingers,0.16
Sherlock Holmes vs. Jack the Ripper,0.16
Mugen Souls,0.16
Ener-G Horse Riders,0.16
My Baby 3 & Friends,0.16
FIFA Soccer 96,0.16
F1 Championship Season 2000,0.16
Our House,0.16
Otogirisou,0.16
SpongeBob SquarePants: Plankton's Robotic Revenge,0.16
Vegas Party,0.16
Vehicular Combat League presents Motor Mayhem,0.16
Battle Soccer: Field no Hasha,0.16
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,0.16
Starcraft 64,0.16
Star Wars: Super Bombad Racing,0.16
StarBlade ?,0.16
San Goku Shi Taisen DS,0.16
Pro Yaky? Spirits 3,0.16
Halo Triple Pack,0.16
Medieval Games,0.16
Lethal Skies II,0.16
"BCFX: The Black College Football Xperience, The Doug Williams Edition",0.16
World Tour Soccer 2005,0.16
Godzilla Unleashed,0.16
Psychic Force,0.16
SimEarth: The Living Planet,0.16
Power Stakes,0.16
.hack//G.U. Vol.2//Reminisce (jp sales),0.16
Kya: Dark Lineage,0.16
Arcade Zone,0.16
Digimon All-Star Rumble,0.16
Block Party,0.16
Lufia: Curse of the Sinistrals,0.16
Robotech: Invasion,0.16
Scarface: Money. Power. Respect.,0.16
Silent Scope 3,0.16
Alias,0.16
Imagine: Music Fest,0.16
Imagine: Ice Champions,0.16
Mobile Suit Gundam: Extreme VS Force,0.16
Fatal Frame II: Crimson Butterfly,0.16
PoPoLoCrois: Hajimari no Bouken,0.16
Shadow Man: 2econd Coming,0.16
Dragon Ball: Origins 2,0.16
Destruction Derby 64,0.16
Let's Ride: Sunshine Stables,0.16
Stronghold 3,0.16
Bust-A-Move Bash!,0.16
International Superstar Soccer Deluxe,0.16
Street Racer,0.16
Lost Heroes,0.16
Little League World Series Baseball 2008,0.16
Steins;Gate: Hiyoku Renri no Darling,0.16
Macross Ace Frontier,0.16
The Godfather: Blackhand Edition,0.16
Just Sing!,0.16
Challenge Me: Brain Puzzles 2,0.16
Sengoku Basara: Chronicle Heroes,0.16
N2O: Nitrous Oxide,0.16
Senran Kagura: Sh?jo-tachi no Shinei,0.16
Saturday Night Slam Masters,0.16
California Speed,0.16
Take A Break's: Puzzle Master,0.16
Alone in the Dark: The New Nightmare,0.16
Tom and Jerry in Fists of Furry,0.16
Dragon's Lair Trilogy,0.16
Magic: The Gathering - Battlegrounds,0.16
Yu-Gi-Oh! 5D's Tag Force 6,0.16
Ready 2 Rumble Revolution,0.16
Shinobido 2: Tales of the Ninja,0.16
Smash Court Tennis 3,0.16
LEGO Soccer Mania,0.16
Get Up and Dance,0.16
Guilty Gear Judgment,0.16
World Stadium 4,0.16
FIFA Soccer 97,0.16
SD Gundam G Generation 3D,0.16
He-Man: Power of Grayskull,0.16
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,0.16
Young Justice: Legacy,0.16
Time Hollow,0.16
Child of Light,0.16
Phantasy Star Online 2,0.16
PhotoKano,0.16
Jikkyou Powerful Pro Yakyuu Basic-han 2001,0.16
Family Party: 30 Great Games Outdoor Fun,0.16
Taito Legends,0.16
Yaiba: Ninja Gaiden Z,0.15
Dragon Slayer: The Legend of Heroes,0.15
Bejeweled Twist,0.15
Lucha Libre AAA: Heroes del Ring,0.15
MLB Front Office Manager,0.15
Jikkyou Powerful Pro Yakyuu Portable,0.15
Cabela's Alaskan Adventure,0.15
Busy Scissors,0.15
Black * Rock Shooter: The Game,0.15
Mad Dash Racing,0.15
MTV Music Generator 2,0.15
The Sims Medieval: Pirates and Nobles,0.15
Dodge Racing: Charger vs Challenger,0.15
Get On Da Mic,0.15
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,0.15
Dreamworks 2-in-1 Party Pack,0.15
Drawn to Life Collection,0.15
Super Robot Wars OG: The Moon Dwellers,0.15
Geist,0.15
Enthusia Professional Racing,0.15
Jikkyou Powerful Pro Yakyuu 2009,0.15
NASCAR 07,0.15
Cake Mania: In The Mix!,0.15
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,0.15
Dragon Ball Z: Harukanaru Densetsu (JP sales),0.15
Deponia,0.15
Tokyo Xanadu,0.15
Guilty Gear X2 #Reload,0.15
White Knight Chronicles: Origins,0.15
Code:Realize - Sousei no Himegimi,0.15
Arslan: The Warriors of Legend,0.15
Paris-Dakar Rally,0.15
Spongebob Squarepants / Fairly Odd Parents Double Pack,0.15
Brain Boost: Beta Wave,0.15
Brain Boost: Gamma Wave,0.15
Toy Story Racer,0.15
Disney's Story Studio: Disney's Mulan,0.15
Cardinal Syn,0.15
Attack of the Movies 3D,0.15
Saturn Bomberman,0.15
Suzumiya Haruhi no Yakusoku,0.15
Kidou Senkan Nadesico,0.15
Star Trek: Voyager Elite Force,0.15
Digimon Rumble Arena 2,0.15
The Quest Trio,0.15
Kung-Fu: High Impact,0.15
Summon Night 5,0.15
Dance Dance Revolution (North America),0.15
Digimon Battle Spirit 2,0.15
Zoids: Battle Legends,0.15
Turbo Prop Racing,0.15
Totally Spies! Totally Party,0.15
Mobile Suit Gundam Side Story III: Sabakareshi Mono,0.15
James Noir's Hollywood Crimes,0.15
Robotics;Notes,0.15
Nancy Drew: The White Wolf of Icicle Creek,0.15
Power Pro Kun Pocket 1+2,0.15
eJay Clubworld,0.15
Metal Slug 4 & 5,0.15
Metal Slug 7,0.15
Harvest Moon: Hero of Leaf Valley,0.15
Atelier Iris: Eternal Mana,0.15
Knockout Kings 2003,0.15
Klax,0.15
Doraemon 3: Nobi Dai no Machi SOS!,0.15
"Warhammer 40,000: Fire Warrior",0.15
Namco Museum Vol.5,0.15
Serious Sam,0.15
Space Station Silicon Valley,0.15
Fugitive Hunter: War on Terror,0.15
Charm Girls Club: Pajama Party,0.15
Rudra no Hihou,0.15
Chessmaster II,0.15
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,0.15
Harvest Moon: The Lost Valley,0.15
Theatrhythm Dragon Quest,0.15
MotoGP 2: Ultimate Racing Technology,0.15
Yu-Gi-Oh! Nightmare Troubadour (US sales),0.15
T'ai Fu: Wrath of the Tiger,0.15
Sam & Max: Season One,0.15
Muppet RaceMania,0.15
Shin Chan: ?Aventuras de Cine!,0.15
Musashi: Samurai Legend,0.15
Gallop & Ride!,0.15
Tamagotchi Collection,0.15
Petz: Dogz Talent Show,0.15
Shadow Ops: Red Mercury,0.15
Travel Games For Dummies,0.15
Strawberry Shortcake: Game Boy Advance Video Volume 1,0.15
Streak: Hoverboard Racing,0.15
Oreshika: Tainted Bloodlines,0.15
Courier Crisis,0.15
Darkstalkers Chronicle: The Chaos Tower,0.15
Dark Rift,0.15
FIFA 06: Road to FIFA World Cup,0.15
Tamagotchi no Narikiri Channel,0.15
Naruto: Powerful Shippuden,0.15
The Fairly Odd Parents: Clash with the Anti-World,0.15
Medal of Honor: Infiltrator,0.15
Baseball Blast!,0.15
Naruto Shippuden: Legends: Akatsuki Rising,0.15
Jewel Quest Solitaire,0.15
The Wizard of Oz: Beyond The Yellow Brick Road,0.15
Samurai Warriors: Katana,0.15
Boktai: The Sun is in Your Hand,0.15
Pressure Cooker,0.15
Project Sylpheed: Arc of Deception,0.15
Home Run,0.15
Bleach: Dark Souls,0.15
Blazing Dragons,0.15
Disney's The Lion King: Simba's Mighty Adventure,0.15
Mobile Suit Gundam: Perfect One Year War,0.15
Kowloon's Gate,0.15
Pok?mon: Johto Photo Finish: Game Boy Advance Video,0.15
Blinx 2: Masters of Time & Space,0.15
Ridge Racer DS,0.15
Pac-Man Party 3D,0.15
Heroes of Mana,0.15
Family Party: Fitness Fun,0.15
Viewtiful Joe: Red Hot Rumble,0.15
Mind Zero,0.15
Galerians,0.15
Kids Learn Math: A+ Edition,0.15
Build-A-Bear Workshop: Welcome to Hugsville,0.15
"NewU Fitness First Mind Body, Yoga & Pilates Workout",0.15
DrumMania,0.15
J-League Victory Goal,0.15
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,0.15
World League Soccer,0.15
Winning Post 3,0.15
Winning Post 4,0.15
Farm Frenzy: Animal Country,0.15
Power Pro Kun Pocket 9,0.15
All Japan Pro Wrestling featuring Virtua,0.15
Sonny with a Chance,0.15
Sonic Advance & Sonic Pinball Party Combo Pack,0.15
Castlevania: Lords of Shadow - Mirror of Fate,0.15
Wizardry VII: Gadeia no Houshu,0.15
Winter Sports 2011,0.15
Elf: The Movie,0.15
High Velocity Bowling,0.15
Derby Stallion 64,0.15
Return to PopoloCrois: A Story of Seasons Fairytale,0.15
Cartoon Network Collection: Game Boy Advance Video Special Edition,0.15
Metal Gear Solid: Peace Walker HD Edition,0.15
Merv Griffin's Crosswords,0.15
Mystic Heroes,0.15
Active Life Explorer,0.15
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,0.15
Kingdom Under Fire: Heroes,0.15
Kingdom of Paradise,0.15
Tears to Tiara II: Heir of the Overlord,0.15
Barbie Superpack: Secret Agent / Groovy Games,0.15
Destruction Derby Raw,0.14
Jenga World Tour,0.14
Touch My Katamari,0.14
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",0.14
The Amazing Race,0.14
Power Pro Kun Pocket 8,0.14
Zatch Bell! Mamodo Battles,0.14
Zoobles! Spring to Life!,0.14
Diner Dash: Flo on the Go,0.14
Pro Yakyuu Netsu Star 2006,0.14
Thunder Truck Rally,0.14
Port Royale 3,0.14
Cave Story 3D,0.14
Cyber Sled,0.14
7th Dragon,0.14
PANGYA: Fantasy Golf,0.14
Dragon Age: Origins - Ultimate Edition,0.14
Doukyuusei,0.14
OutRun 2,0.14
Imagine: Fashion Stylist,0.14
Clannad,0.14
Cities: Skylines,0.14
QuickSpot,0.14
Game Party: Champions,0.14
Star Trek: Shattered Universe,0.14
Queen's Gate: Spiral Chaos,0.14
Quick Yoga Training,0.14
Star Wars: Jedi Power Battles,0.14
SingStar Vol. 3,0.14
Fear Factor: Unleashed,0.14
Kenka Banchou 5: Otoko no Housoku,0.14
Gray Matter,0.14
Asphalt: Urban GT 2,0.14
Naruto Shippuden: Ninja Destiny 3,0.14
World Championship Poker: Howard Lederer - All In,0.14
Wonder World Amusement Park,0.14
Frank Thomas Big Hurt Baseball,0.14
Zumba Fitness Core,0.14
Project V6,0.14
Senran Kagura Burst: Guren no Sh?jo-tachi,0.14
Space Venus starring Morning Musume,0.14
Fur Fighters: Viggo's Revenge,0.14
Rugby 2005,0.14
In the Hunt,0.14
The Bombing Islands,0.14
MotoGP '06,0.14
Atari's Greatest Hits: Volume 1,0.14
Super Dodgeball Brawlers,0.14
Klonoa: Empire of Dreams,0.14
Lord of the Rings: Tactics,0.14
Destroy All Humans! Big Willy Unleashed,0.14
Desire,0.14
Jim Henson's the Muppets: On With the Show!,0.14
Heatseeker,0.14
Eternal Eyes,0.14
Eternal Poison,0.14
Epidemic,0.14
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,0.14
Kidou Senshi Gundam: Shin Gihren no Yabou,0.14
Super Robot Taisen OG Saga: Endless Frontier (JP sales),0.14
S.C.A.R.S,0.14
World Tour Soccer 2002,0.14
Nitrobike,0.14
Ninjatown,0.14
Bravo Air Race,0.14
Kamen Rider Ryuki,0.14
Kamen Rider: Battride War Genesis,0.14
Guilty Gear,0.14
LEGO Island Xtreme Stunts,0.14
Shining Resonance,0.14
Shining Soul,0.14
Shining Force CD,0.14
MXGP 2,0.14
Divinity II: The Dragon Knight Saga,0.14
Hard Rock Casino,0.14
The Legend of Heroes II: Prophecy of the Moonlight Witch,0.14
Reality Fighters,0.14
Real World Golf,0.14
Hot Wheels: World Race,0.14
Pet Pals: Animal Doctor,0.14
Record of Agarest War 2,0.14
Red Orchestra 2: Heroes of Stalingrad,0.14
Doshin the Giant,0.14
BIT.TRIP SAGA,0.14
World Tour Soccer 2003,0.14
World Soccer Winning Eleven 9 Bonus Pack,0.14
The History Channel: Civil War - A Nation Divided,0.14
The Granstream Saga,0.14
Bust-A-Move Deluxe,0.14
The Hustle: Detroit Streets,0.14
Dave Mirra BMX Challenge,0.14
Inversion,0.14
Back At The Barnyard: Slop Bucket Games,0.14
Lips: I Love The 80s,0.14
Phantom Brave,0.14
Diva Girls: Divas on Ice,0.14
Shonen Jump's Shaman King: Master of Spirits,0.14
Monster Hunter Diary: Poka Poka Airou Village DX,0.14
Shrek 2 and Shark Tale 2-in-1 Pack,0.14
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,0.14
Jonny Moseley Mad Trix,0.14
Super Puzzle Fighter II Turbo,0.14
Haunted House,0.14
Iron & Blood,0.14
ArmA II,0.14
Mega Man Powered Up,0.14
Daytona USA Championship Circuit Edition,0.14
Tomb Raider: The Prophecy,0.14
Gourmet Chef: Cook Your Way to Fame,0.14
Guilty Gear Xrd -Revelator-,0.14
Alone in the Dark: Inferno,0.14
NCAA Basketball Final Four 97,0.14
NBA ShootOut 2002,0.14
CSI: 3 Dimensions of Murder,0.14
Sengoku Musou 3 Empires,0.14
Cake Mania 3,0.14
Sengoku Basara 4: Sumeragi,0.14
Adrenalin Misfits,0.14
Your Shape: Fitness Evolved 2013,0.14
Jikkyou Powerful Pro Yakyuu Wii,0.14
Ys: The Oath in Felghana,0.14
Mary-Kate and Ashley: Crush Course,0.14
Mary-Kate and Ashley: Winners Circle,0.14
Alien Syndrome,0.14
Igor: The Game,0.14
Apex,0.14
Supreme Commander,0.14
Hexyz Force,0.14
Farming Simulator 2012,0.14
Famista Returns,0.14
Interactive Sampler Disc 6,0.14
To Heart,0.14
Ribbit King,0.14
Pac-Man World Rally,0.14
PaRappa The Rapper 2,0.14
Victorious Boxers: Revolution,0.14
?Shin Chan Flipa en colores!,0.14
Okaeri! Chibi-Robo! Happy Richie Oosouji,0.14
Onimusha Essentials,0.14
MySims Collection,0.14
Barbie Explorer,0.14
Front Mission Alternative,0.14
Uta no * Prince-Sama: Repeat,0.14
RockMan & Forte,0.14
Barbarian,0.14
Class of Heroes,0.14
Smashing Drive,0.14
Paws & Claws: Pet Vet 2,0.14
Star Ocean: Blue Sphere,0.14
Gundam: The Battle Master,0.14
Disney's Cinderella: Magical Dreams,0.14
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,0.14
Tennis no Oji-Sama: Aim at The Victory!,0.14
Rayman 3,0.14
Derby Stallion Gold,0.14
Kamen Rider Battle: Ganbaride,0.14
Ape Escape Academy (jp sales),0.14
Anno 1701: Dawn of Discovery,0.14
Learn Math,0.14
Let's Cheer,0.14
